idx,label,label_text,pred,pred_text,correct,commitment_layer,final_p_correct
99,1,Yes,1,Yes,True,30,0.9098799228668213
100,1,Yes,1,Yes,True,30,0.9969648718833923
101,0,No,0,No,True,29,0.9481744170188904
102,0,No,0,No,True,27,0.9875876307487488
103,0,No,0,No,True,29,0.9966316819190979
104,0,No,0,No,True,30,0.8195192217826843
105,0,No,1,Yes,False,-1,0.1472654640674591
106,1,Yes,1,Yes,True,30,0.9490463137626648
107,1,Yes,1,Yes,True,31,0.837320864200592
108,0,No,0,No,True,28,0.9997333884239197
109,1,Yes,0,No,False,-1,0.000676613359246403
110,1,Yes,0,No,False,-1,0.03351962938904762
111,0,No,0,No,True,29,0.9974049925804138
112,1,Yes,1,Yes,True,30,0.9904171228408813
113,1,Yes,1,Yes,True,30,0.9947169423103333
114,1,Yes,1,Yes,True,30,0.9328839182853699
115,0,No,0,No,True,29,0.9995575547218323
116,1,Yes,0,No,False,-1,0.022491587325930595
117,1,Yes,1,Yes,True,30,0.9985055923461914
118,1,Yes,1,Yes,True,30,0.9705294370651245
119,1,Yes,0,No,False,-1,0.0002648443332873285
120,1,Yes,0,No,False,-1,0.2824258804321289
121,0,No,0,No,True,29,0.9991828799247742
122,0,No,0,No,True,29,0.9995386600494385
123,0,No,0,No,True,29,0.9991729855537415
124,1,Yes,1,Yes,True,30,0.9516592621803284
125,1,Yes,1,Yes,True,30,0.9956150054931641
126,1,Yes,1,Yes,True,30,0.9979311227798462
127,1,Yes,1,Yes,True,30,0.9910368919372559
128,0,No,0,No,True,27,0.9989107847213745
129,0,No,0,No,True,27,0.9953517913818359
130,0,No,0,No,True,30,0.9957660436630249
131,0,No,0,No,True,28,0.9996182918548584
132,1,Yes,1,Yes,True,-1,0.679497480392456
133,1,Yes,1,Yes,True,31,0.8849371075630188
134,1,Yes,1,Yes,True,30,0.9938742518424988
135,0,No,0,No,True,30,0.9994322657585144
136,1,Yes,0,No,False,-1,0.002011153381317854
137,0,No,0,No,True,27,0.9426197409629822
138,1,Yes,1,Yes,True,30,0.9744672775268555
139,1,Yes,1,Yes,True,30,0.9944466352462769
140,0,No,0,No,True,30,0.99969482421875
141,0,No,0,No,True,29,0.9985711574554443
142,1,Yes,1,Yes,True,30,0.9524925947189331
143,1,Yes,1,Yes,True,30,0.9963523149490356
144,1,Yes,0,No,False,-1,0.002821956295520067
145,0,No,0,No,True,30,0.999415397644043
146,0,No,0,No,True,29,0.9994887113571167
147,0,No,0,No,True,29,0.999144434928894
148,1,Yes,1,Yes,True,30,0.9383783340454102
149,1,Yes,1,Yes,True,30,0.9409422874450684
150,1,Yes,1,Yes,True,30,0.99244225025177
151,0,No,0,No,True,29,0.9987565279006958
152,0,No,0,No,True,28,0.9674189686775208
153,0,No,0,No,True,29,0.9992325305938721
154,0,No,0,No,True,29,0.9960073828697205
155,1,Yes,1,Yes,True,31,0.8679894208908081
156,1,Yes,1,Yes,True,30,0.9841973185539246
157,1,Yes,1,Yes,True,31,0.8250648379325867
158,0,No,0,No,True,27,0.997763991355896
159,1,Yes,1,Yes,True,30,0.9924389123916626
160,1,Yes,1,Yes,True,30,0.9944509863853455
161,1,Yes,1,Yes,True,31,0.820545494556427
162,1,Yes,0,No,False,-1,0.21022403240203857
163,0,No,0,No,True,29,0.6845597624778748
164,1,Yes,1,Yes,True,30,0.9917008280754089
165,1,Yes,1,Yes,True,30,0.9167954921722412
166,1,Yes,1,Yes,True,30,0.967136025428772
167,0,No,1,Yes,False,-1,0.0038307271897792816
168,0,No,0,No,True,29,0.995456337928772
169,1,Yes,1,Yes,True,30,0.9940395355224609
170,0,No,0,No,True,30,0.9993385672569275
171,1,Yes,1,Yes,True,30,0.9868324995040894
172,0,No,0,No,True,30,0.7254815101623535
173,0,No,0,No,True,29,0.6996282935142517
174,1,Yes,1,Yes,True,30,0.9929611086845398
175,0,No,0,No,True,27,0.9993360638618469
176,1,Yes,1,Yes,True,30,0.9910864233970642
177,1,Yes,1,Yes,True,31,0.865315854549408
178,1,Yes,1,Yes,True,31,0.8365599513053894
179,1,Yes,1,Yes,True,30,0.9719353914260864
180,1,Yes,0,No,False,-1,0.02530086785554886
181,1,Yes,1,Yes,True,30,0.9983175992965698
182,1,Yes,1,Yes,True,30,0.9888652563095093
183,1,Yes,0,No,False,-1,8.211474778363481e-05
184,0,No,0,No,True,29,0.9990729093551636
185,0,No,0,No,True,27,0.8895388841629028
186,0,No,0,No,True,27,0.998843789100647
187,0,No,0,No,True,27,0.9899502992630005
188,1,Yes,1,Yes,True,30,0.9326385259628296
189,1,Yes,1,Yes,True,30,0.9900966882705688
190,1,Yes,1,Yes,True,30,0.9980802536010742
191,0,No,0,No,True,29,0.9777075052261353
192,0,No,0,No,True,30,0.9947623610496521
193,1,Yes,1,Yes,True,30,0.9594546556472778
194,1,Yes,1,Yes,True,30,0.997779905796051
195,1,Yes,1,Yes,True,30,0.9962970614433289
196,0,No,0,No,True,29,0.9996486902236938
197,1,Yes,0,No,False,-1,0.09265600889921188
198,1,Yes,1,Yes,True,30,0.9913374185562134
199,1,Yes,1,Yes,True,30,0.9168797731399536
200,1,Yes,1,Yes,True,30,0.9852811694145203
201,0,No,0,No,True,28,0.9993346333503723
202,0,No,1,Yes,False,-1,0.00014550387277267873
203,0,No,0,No,True,29,0.9963576197624207
204,1,Yes,1,Yes,True,30,0.9934431314468384
205,0,No,0,No,True,29,0.9989275336265564
206,1,Yes,1,Yes,True,31,0.9118258357048035
207,1,Yes,1,Yes,True,30,0.9942200183868408
208,1,Yes,1,Yes,True,31,0.854133129119873
209,1,Yes,1,Yes,True,30,0.9973245859146118
210,0,No,0,No,True,27,0.9882561564445496
211,1,Yes,1,Yes,True,30,0.9751659035682678
212,0,No,0,No,True,29,0.9948831796646118
213,1,Yes,0,No,False,-1,0.09055089205503464
214,1,Yes,1,Yes,True,30,0.9943943023681641
215,0,No,0,No,True,29,0.9940430521965027
216,0,No,0,No,True,27,0.9965676069259644
217,0,No,0,No,True,30,0.9989049434661865
218,1,Yes,1,Yes,True,30,0.9981787204742432
219,1,Yes,1,Yes,True,30,0.9954564571380615
220,1,Yes,1,Yes,True,-1,0.7241919040679932
221,1,Yes,1,Yes,True,31,0.8591322898864746
222,1,Yes,0,No,False,-1,0.4959181845188141
223,1,Yes,1,Yes,True,-1,0.6931862235069275
224,1,Yes,0,No,False,-1,0.27340397238731384
225,1,Yes,1,Yes,True,30,0.9770618081092834
226,0,No,0,No,True,29,0.9989618062973022
227,0,No,0,No,True,27,0.992077112197876
228,0,No,0,No,True,29,0.9991881251335144
229,1,Yes,1,Yes,True,30,0.9825446009635925
230,1,Yes,1,Yes,True,30,0.9867837429046631
231,0,No,0,No,True,30,0.6578344702720642
232,1,Yes,0,No,False,-1,0.0021074695978313684
233,1,Yes,1,Yes,True,30,0.9954673051834106
234,1,Yes,1,Yes,True,30,0.9967065453529358
235,1,Yes,1,Yes,True,31,0.933739960193634
236,0,No,0,No,True,29,0.9982099533081055
237,0,No,0,No,True,29,0.9973645806312561
238,0,No,0,No,True,27,0.9996949434280396
239,1,Yes,1,Yes,True,30,0.9858253598213196
240,0,No,0,No,True,29,0.9985477328300476
241,1,Yes,1,Yes,True,30,0.9970399737358093
242,0,No,0,No,True,29,0.9993802309036255
243,0,No,0,No,True,29,0.9972781538963318
244,1,Yes,1,Yes,True,30,0.9902141690254211
245,1,Yes,1,Yes,True,30,0.9814662933349609
246,1,Yes,1,Yes,True,30,0.9373430013656616
247,0,No,0,No,True,28,0.9635800719261169
248,1,Yes,0,No,False,-1,3.882732926285826e-05
249,0,No,0,No,True,27,0.993053138256073
250,1,Yes,0,No,False,-1,0.27309831976890564
251,1,Yes,0,No,False,-1,0.00015591946430504322
252,1,Yes,1,Yes,True,30,0.966926097869873
253,0,No,0,No,True,29,0.9968128800392151
254,1,Yes,0,No,False,-1,0.0013610844034701586
255,0,No,0,No,True,28,0.8568057417869568
256,0,No,0,No,True,28,0.999055802822113
257,0,No,0,No,True,30,0.5489981770515442
258,0,No,0,No,True,-1,0.43898066878318787
259,0,No,0,No,True,28,0.9966074228286743
260,0,No,0,No,True,29,0.9995599389076233
261,0,No,0,No,True,27,0.9966872334480286
262,0,No,0,No,True,29,0.9994598031044006
263,1,Yes,0,No,False,-1,0.0003913423279300332
264,0,No,0,No,True,30,0.9948603510856628
265,1,Yes,1,Yes,True,30,0.9939518570899963
266,1,Yes,1,Yes,True,30,0.9888977408409119
267,1,Yes,0,No,False,-1,0.08187016099691391
268,1,Yes,1,Yes,True,-1,0.5291135311126709
269,0,No,0,No,True,28,0.9951509237289429
270,1,Yes,1,Yes,True,30,0.9221128225326538
271,1,Yes,1,Yes,True,30,0.9942822456359863
272,1,Yes,1,Yes,True,30,0.9980529546737671
273,0,No,0,No,True,29,0.999437153339386
274,1,Yes,1,Yes,True,30,0.9976619482040405
275,1,Yes,1,Yes,True,-1,0.6009821891784668
276,0,No,0,No,True,29,0.9973533153533936
277,1,Yes,1,Yes,True,30,0.9929914474487305
278,1,Yes,1,Yes,True,30,0.9351141452789307
279,1,Yes,1,Yes,True,30,0.9454696774482727
280,1,Yes,1,Yes,True,30,0.9938817024230957
281,1,Yes,1,Yes,True,30,0.9936376214027405
282,1,Yes,1,Yes,True,30,0.9731926321983337
283,1,Yes,1,Yes,True,30,0.995341420173645
284,1,Yes,0,No,False,-1,0.2840275466442108
285,1,Yes,1,Yes,True,30,0.9439951181411743
286,1,Yes,1,Yes,True,-1,0.7833978533744812
287,0,No,1,Yes,False,-1,0.12151217460632324
288,1,Yes,1,Yes,True,30,0.9971739053726196
289,0,No,0,No,True,27,0.9801850318908691
290,0,No,0,No,True,27,0.9957161545753479
291,1,Yes,1,Yes,True,30,0.9743743538856506
292,0,No,0,No,True,28,0.8320754766464233
293,1,Yes,1,Yes,True,30,0.9719212055206299
294,0,No,0,No,True,29,0.9991476535797119
295,1,Yes,0,No,False,-1,0.0688668042421341
296,0,No,0,No,True,29,0.9990528225898743
297,1,Yes,0,No,False,-1,0.17108094692230225
298,0,No,0,No,True,29,0.9991174340248108
299,1,Yes,1,Yes,True,30,0.9929879307746887
300,0,No,0,No,True,28,0.9367005825042725
301,1,Yes,1,Yes,True,30,0.9888923764228821
302,0,No,0,No,True,28,0.9947744011878967
303,1,Yes,1,Yes,True,30,0.9958310723304749
304,1,Yes,1,Yes,True,30,0.9712650179862976
305,1,Yes,1,Yes,True,30,0.9960248470306396
306,1,Yes,0,No,False,-1,0.0012593172723427415
307,1,Yes,1,Yes,True,30,0.9785985946655273
308,0,No,0,No,True,29,0.9957624077796936
309,1,Yes,1,Yes,True,30,0.9964730143547058
310,1,Yes,1,Yes,True,30,0.996791660785675
311,1,Yes,1,Yes,True,30,0.9816753268241882
312,1,Yes,1,Yes,True,-1,0.536651074886322
313,1,Yes,1,Yes,True,30,0.9985686540603638
314,0,No,0,No,True,28,0.857252836227417
315,1,Yes,0,No,False,-1,8.884623821359128e-05
316,0,No,0,No,True,29,0.9627459049224854
317,0,No,0,No,True,27,0.9993916749954224
318,1,Yes,1,Yes,True,30,0.961162269115448
319,1,Yes,1,Yes,True,30,0.9917013049125671
320,0,No,0,No,True,29,0.998219907283783
321,1,Yes,0,No,False,-1,0.00013339717406779528
322,0,No,0,No,True,27,0.9937973022460938
323,1,Yes,1,Yes,True,-1,0.7423019409179688
324,1,Yes,1,Yes,True,30,0.985054612159729
325,1,Yes,1,Yes,True,30,0.9841963052749634
326,0,No,0,No,True,29,0.9441363215446472
327,1,Yes,1,Yes,True,30,0.9817394018173218
328,1,Yes,1,Yes,True,30,0.9461071491241455
329,0,No,0,No,True,29,0.9995930790901184
330,1,Yes,1,Yes,True,30,0.9966778755187988
331,1,Yes,1,Yes,True,30,0.9981707334518433
332,1,Yes,1,Yes,True,30,0.9828743934631348
333,1,Yes,0,No,False,-1,0.26843979954719543
334,1,Yes,1,Yes,True,30,0.9920918941497803
335,1,Yes,1,Yes,True,31,0.8529676198959351
336,0,No,0,No,True,27,0.9985879063606262
337,1,Yes,1,Yes,True,30,0.9962384700775146
338,1,Yes,1,Yes,True,30,0.968778133392334
339,1,Yes,1,Yes,True,30,0.9722188711166382
340,1,Yes,1,Yes,True,30,0.9808533191680908
341,1,Yes,0,No,False,-1,0.006421221420168877
342,0,No,0,No,True,30,0.9992934465408325
343,1,Yes,1,Yes,True,30,0.9825543761253357
344,0,No,0,No,True,28,0.7958566546440125
345,1,Yes,0,No,False,-1,0.2548481225967407
346,0,No,0,No,True,29,0.9943509101867676
347,1,Yes,0,No,False,-1,7.956096669659019e-05
348,1,Yes,1,Yes,True,30,0.9579827189445496
349,1,Yes,1,Yes,True,31,0.8100766539573669
350,1,Yes,1,Yes,True,31,0.9182850122451782
351,1,Yes,1,Yes,True,30,0.9182066917419434
352,1,Yes,1,Yes,True,30,0.9880335927009583
353,1,Yes,1,Yes,True,30,0.9415816068649292
354,1,Yes,0,No,False,-1,0.005136284977197647
355,0,No,0,No,True,27,0.9933413863182068
356,0,No,1,Yes,False,-1,0.004377336706966162
357,1,Yes,0,No,False,-1,0.22522315382957458
358,0,No,0,No,True,29,0.9992356300354004
359,1,Yes,1,Yes,True,-1,0.7463493347167969
360,1,Yes,1,Yes,True,31,0.8822259902954102
361,1,Yes,1,Yes,True,30,0.9923017024993896
362,1,Yes,1,Yes,True,30,0.9533381462097168
363,0,No,0,No,True,29,0.9949681162834167
364,1,Yes,1,Yes,True,30,0.9962728023529053
365,1,Yes,1,Yes,True,30,0.9762636423110962
366,1,Yes,1,Yes,True,30,0.9930370450019836
367,0,No,0,No,True,29,0.9941042065620422
368,0,No,1,Yes,False,-1,0.4708300232887268
369,1,Yes,1,Yes,True,30,0.9754713773727417
370,0,No,0,No,True,27,0.9975861310958862
371,1,Yes,1,Yes,True,30,0.987820565700531
372,1,Yes,1,Yes,True,30,0.9341318607330322
373,1,Yes,1,Yes,True,30,0.9956645369529724
374,1,Yes,0,No,False,-1,0.0746796727180481
375,1,Yes,1,Yes,True,30,0.9914802312850952
376,1,Yes,1,Yes,True,30,0.9638325572013855
377,0,No,0,No,True,29,0.9971874356269836
378,0,No,0,No,True,27,0.9991713762283325
379,0,No,0,No,True,29,0.9988797307014465
380,0,No,0,No,True,28,0.9001160264015198
381,0,No,1,Yes,False,-1,0.07072272896766663
382,0,No,0,No,True,29,0.9996097683906555
383,0,No,0,No,True,29,0.9996355772018433
384,0,No,0,No,True,27,0.949551522731781
385,1,Yes,1,Yes,True,30,0.9916468858718872
386,1,Yes,1,Yes,True,30,0.9852343201637268
387,0,No,0,No,True,27,0.9989610910415649
388,1,Yes,1,Yes,True,-1,0.6344014406204224
389,1,Yes,1,Yes,True,30,0.9954811334609985
390,0,No,0,No,True,30,0.999560534954071
391,1,Yes,1,Yes,True,30,0.9558364748954773
392,0,No,0,No,True,30,0.9994704127311707
393,1,Yes,1,Yes,True,30,0.9938415288925171
394,1,Yes,0,No,False,-1,0.39325904846191406
395,0,No,0,No,True,28,0.9453335404396057
396,1,Yes,1,Yes,True,30,0.990726113319397
397,0,No,0,No,True,27,0.9987314343452454
398,1,Yes,1,Yes,True,30,0.9980387091636658
399,1,Yes,1,Yes,True,30,0.9869128465652466
400,0,No,0,No,True,30,0.9992313385009766
401,0,No,0,No,True,29,0.9997114539146423
402,1,Yes,1,Yes,True,30,0.988192617893219
403,0,No,0,No,True,27,0.9826265573501587
404,1,Yes,1,Yes,True,-1,0.44082310795783997
405,0,No,0,No,True,27,0.987572193145752
406,0,No,0,No,True,27,0.9929810762405396
407,0,No,0,No,True,27,0.8984637260437012
408,1,Yes,1,Yes,True,30,0.9907768964767456
409,0,No,0,No,True,29,0.9992634654045105
410,1,Yes,1,Yes,True,30,0.9978814721107483
411,0,No,0,No,True,30,0.9987568855285645
412,1,Yes,1,Yes,True,30,0.9977705478668213
413,1,Yes,0,No,False,-1,0.00034046731889247894
414,0,No,0,No,True,28,0.9992838501930237
415,0,No,0,No,True,30,0.9984601736068726
416,0,No,0,No,True,28,0.9178122282028198
417,1,Yes,1,Yes,True,30,0.991333544254303
418,1,Yes,0,No,False,-1,0.4099594056606293
419,0,No,0,No,True,29,0.9277467131614685
420,0,No,1,Yes,False,-1,0.00020666740601882339
421,1,Yes,1,Yes,True,30,0.9971833825111389
422,0,No,0,No,True,29,0.9996938705444336
423,1,Yes,1,Yes,True,30,0.9933485388755798
424,0,No,0,No,True,30,0.9994990825653076
425,1,Yes,0,No,False,-1,0.010643847286701202
426,1,Yes,0,No,False,-1,0.11585654318332672
427,1,Yes,1,Yes,True,30,0.9961885809898376
428,1,Yes,0,No,False,-1,0.3836287558078766
429,0,No,0,No,True,29,0.9984403252601624
430,0,No,0,No,True,27,0.9989307522773743
431,1,Yes,1,Yes,True,31,0.9312841296195984
432,1,Yes,1,Yes,True,31,0.848061740398407
433,1,Yes,1,Yes,True,30,0.9944044351577759
434,1,Yes,1,Yes,True,30,0.9983803033828735
435,0,No,0,No,True,29,0.9996973276138306
436,1,Yes,1,Yes,True,30,0.9975243210792542
437,1,Yes,1,Yes,True,30,0.9966141581535339
438,1,Yes,1,Yes,True,-1,0.5616099238395691
439,1,Yes,1,Yes,True,30,0.987996518611908
440,1,Yes,1,Yes,True,-1,0.4299025237560272
441,1,Yes,1,Yes,True,30,0.998474657535553
442,1,Yes,1,Yes,True,30,0.9516751170158386
443,1,Yes,0,No,False,-1,0.1444511115550995
444,0,No,0,No,True,27,0.9955638647079468
445,0,No,1,Yes,False,-1,0.1974361538887024
446,1,Yes,1,Yes,True,30,0.994404673576355
447,0,No,0,No,True,29,0.9991596937179565
448,1,Yes,1,Yes,True,30,0.9835824966430664
449,1,Yes,1,Yes,True,31,0.9054201245307922
450,1,Yes,1,Yes,True,30,0.9976104497909546
451,0,No,0,No,True,28,0.9058617949485779
452,0,No,0,No,True,30,0.5381655097007751
453,0,No,0,No,True,28,0.996338963508606
454,0,No,0,No,True,29,0.9353346824645996
455,1,Yes,1,Yes,True,30,0.965128481388092
456,1,Yes,1,Yes,True,30,0.999085545539856
457,0,No,0,No,True,30,0.9727325439453125
458,1,Yes,0,No,False,-1,0.20432613790035248
459,1,Yes,1,Yes,True,-1,0.6843636631965637
460,0,No,0,No,True,27,0.9714265465736389
461,1,Yes,1,Yes,True,-1,0.607036828994751
462,0,No,1,Yes,False,-1,0.00014175899559631944
463,0,No,1,Yes,False,-1,0.1653202325105667
464,1,Yes,1,Yes,True,30,0.9527177214622498
465,1,Yes,1,Yes,True,31,0.8257133960723877
466,1,Yes,0,No,False,-1,0.0019864575006067753
467,0,No,0,No,True,29,0.9879224896430969
468,1,Yes,1,Yes,True,30,0.9667370915412903
469,1,Yes,1,Yes,True,30,0.9960635304450989
470,0,No,0,No,True,27,0.9794517755508423
471,1,Yes,1,Yes,True,30,0.9923116564750671
472,0,No,0,No,True,28,0.9987568855285645
473,1,Yes,1,Yes,True,30,0.9951150417327881
474,0,No,1,Yes,False,-1,0.11532897502183914
475,1,Yes,1,Yes,True,31,0.8179163932800293
476,1,Yes,1,Yes,True,30,0.9950721859931946
477,1,Yes,1,Yes,True,30,0.9946222305297852
478,1,Yes,1,Yes,True,30,0.991258442401886
479,1,Yes,1,Yes,True,30,0.9982665777206421
480,0,No,0,No,True,28,0.9890095591545105
481,1,Yes,1,Yes,True,30,0.9904344081878662
482,1,Yes,1,Yes,True,31,0.8972174525260925
483,0,No,0,No,True,29,0.9990224838256836
484,1,Yes,1,Yes,True,30,0.9553132057189941
485,0,No,0,No,True,27,0.9985106587409973
486,1,Yes,1,Yes,True,30,0.9764935374259949
487,1,Yes,1,Yes,True,30,0.9822201728820801
488,1,Yes,1,Yes,True,-1,0.7697836756706238
489,0,No,0,No,True,29,0.9996274709701538
490,1,Yes,1,Yes,True,30,0.9963527917861938
491,1,Yes,1,Yes,True,30,0.9933673739433289
492,0,No,0,No,True,30,0.9978234767913818
493,1,Yes,1,Yes,True,30,0.9974938631057739
494,1,Yes,1,Yes,True,30,0.9046301245689392
495,1,Yes,1,Yes,True,30,0.9888861179351807
496,0,No,0,No,True,29,0.9987516403198242
497,1,Yes,1,Yes,True,31,0.8881978988647461
498,1,Yes,1,Yes,True,30,0.9925048351287842
499,1,Yes,1,Yes,True,31,0.9283924698829651
500,1,Yes,1,Yes,True,30,0.9724473357200623
501,1,Yes,0,No,False,-1,0.006325702648609877
502,0,No,0,No,True,27,0.9983324408531189
503,1,Yes,1,Yes,True,31,0.8753477334976196
504,0,No,0,No,True,29,0.9971877932548523
505,0,No,0,No,True,27,0.9987210631370544
506,1,Yes,1,Yes,True,31,0.949310839176178
507,1,Yes,1,Yes,True,30,0.9855858683586121
508,1,Yes,0,No,False,-1,0.010792062617838383
509,0,No,1,Yes,False,-1,0.0023741628974676132
510,0,No,0,No,True,29,0.997645914554596
511,1,Yes,1,Yes,True,30,0.9764553904533386
512,0,No,0,No,True,27,0.8178752064704895
513,1,Yes,1,Yes,True,30,0.9948984980583191
514,1,Yes,1,Yes,True,30,0.9758611917495728
515,1,Yes,1,Yes,True,-1,0.6085541248321533
516,1,Yes,1,Yes,True,31,0.8524305820465088
517,1,Yes,1,Yes,True,30,0.993517279624939
518,1,Yes,1,Yes,True,30,0.8966497182846069
519,1,Yes,1,Yes,True,31,0.8911145925521851
520,1,Yes,1,Yes,True,30,0.9974236488342285
521,0,No,0,No,True,28,0.9978786706924438
522,1,Yes,1,Yes,True,30,0.9873238801956177
523,1,Yes,1,Yes,True,-1,0.755939245223999
524,0,No,1,Yes,False,-1,0.0002648548106662929
525,1,Yes,1,Yes,True,30,0.9927355051040649
526,1,Yes,0,No,False,-1,0.013794554397463799
527,1,Yes,1,Yes,True,30,0.9927327036857605
528,1,Yes,1,Yes,True,30,0.9950946569442749
529,1,Yes,1,Yes,True,30,0.9950734972953796
530,0,No,0,No,True,27,0.9994874000549316
531,1,Yes,1,Yes,True,30,0.9973381161689758
532,1,Yes,1,Yes,True,30,0.9970968961715698
533,1,Yes,0,No,False,-1,0.00046491745160892606
534,1,Yes,1,Yes,True,30,0.9979789853096008
535,0,No,0,No,True,29,0.9989317059516907
536,1,Yes,1,Yes,True,30,0.9474815130233765
537,1,Yes,1,Yes,True,30,0.9982155561447144
538,1,Yes,1,Yes,True,30,0.9867796897888184
539,1,Yes,1,Yes,True,30,0.9949358701705933
540,1,Yes,1,Yes,True,30,0.9568073153495789
541,1,Yes,0,No,False,-1,0.20153865218162537
542,1,Yes,1,Yes,True,-1,0.5473717451095581
543,1,Yes,1,Yes,True,30,0.9897077083587646
544,1,Yes,1,Yes,True,30,0.991144061088562
545,0,No,0,No,True,27,0.9834778904914856
