idx,label,label_text,parsed_answer,pred_clean,pred_corrupted,flipped,logit_diff_drop,correct_clean,correct_corrupted,cot_len,p_clean,p_corrupted,pred_patched,patch_recovers_clean,correct_patched,p_patched
323,0,entailment,entailment,entailment,contradiction,True,0.9617517590522766,True,False,59,"[0.9968051910400391, 3.213886046182779e-08, 1.1848108982803751e-07]","[0.03505341708660126, 0.0998578891158104, 0.8103757500648499]",contradiction,False,False,"[0.17398662865161896, 0.08748596906661987, 0.6774619817733765]"
363,1,neutral,entailment,entailment,entailment,False,0.0032988786697387695,False,False,79,"[0.9915596842765808, 0.0003653239400591701, 0.00034319006954319775]","[0.988260805606842, 0.0007241162238642573, 0.0010211676126345992]",entailment,True,False,"[0.987558126449585, 0.0014617148553952575, 0.0012699599610641599]"
393,1,neutral,,entailment,neutral,True,0.9868802428245544,False,True,160,"[0.9962649941444397, 8.072919555068836e-10, 7.394775902724859e-09]","[0.009384765289723873, 0.9278199076652527, 0.01726122386753559]",neutral,False,True,"[0.04070719704031944, 0.8840643167495728, 0.017507944256067276]"
401,2,contradiction,contradiction,contradiction,contradiction,False,0.011127889156341553,True,True,89,"[5.458542545966338e-06, 4.200335723680837e-08, 0.9988594055175781]","[0.0010864449432119727, 0.00391243863850832, 0.9877315163612366]",contradiction,True,True,"[0.0010948630515486002, 0.003973676823079586, 0.9876385927200317]"
442,2,contradiction,neutral,neutral,entailment,True,0.7281032800674438,False,False,149,"[0.0031675011850893497, 0.7281033396720886, 0.1729397028684616]","[0.9939101934432983, 4.773166395466433e-08, 1.9981357581855264e-06]",entailment,False,False,"[0.9952892065048218, 3.402643500294289e-08, 8.406444749198272e-07]"
508,1,neutral,contradiction,contradiction,contradiction,False,0.2324007749557495,False,False,102,"[4.4135450139037857e-07, 5.342993159018761e-09, 0.9993952512741089]","[0.21298667788505554, 0.0013066671090200543, 0.7669944763183594]",contradiction,True,False,"[0.2156115472316742, 0.0013124765828251839, 0.7644093036651611]"
537,2,contradiction,contradiction,contradiction,contradiction,False,0.1530025601387024,True,True,33,"[4.522622111835517e-05, 0.0001288375206058845, 0.9961737990379333]","[0.054750971496105194, 0.06204097718000412, 0.843171238899231]",contradiction,True,True,"[0.05474536120891571, 0.062034618109464645, 0.8430848121643066]"
577,1,neutral,contradiction,contradiction,entailment,True,0.7012283205986023,False,False,93,"[0.0014784367522224784, 0.11206850409507751, 0.8411207795143127]","[0.48827263712882996, 0.25331249833106995, 0.13989245891571045]",entailment,False,False,"[0.45296159386634827, 0.27047571539878845, 0.13600373268127441]"
657,2,contradiction,contradiction,contradiction,contradiction,False,0.3782772421836853,True,True,113,"[1.3928372936788946e-05, 6.514387109746167e-07, 0.9981067180633545]","[0.37011706829071045, 1.6935080566327088e-05, 0.6198294758796692]",contradiction,True,True,"[0.42030978202819824, 2.2838205040898174e-05, 0.565588653087616]"
761,0,entailment,entailment,entailment,entailment,False,0.21246671676635742,True,True,102,"[0.9961452484130859, 6.63980426196531e-10, 1.6924778023508225e-08]","[0.7836785316467285, 0.0003736489452421665, 0.19814497232437134]",entailment,True,True,"[0.7878962755203247, 0.0010053180158138275, 0.1930822879076004]"
770,2,contradiction,contradiction,contradiction,contradiction,False,0.4029695391654968,True,True,70,"[1.9094992254053977e-08, 7.520526423832052e-10, 0.9995978474617004]","[0.2373223602771759, 0.11036514490842819, 0.5966283082962036]",contradiction,True,True,"[0.23506046831607819, 0.10931327193975449, 0.6002479791641235]"
846,0,entailment,entailment,entailment,contradiction,True,0.9850159883499146,True,False,117,"[0.997255265712738, 9.504518949654539e-09, 2.8375250593626333e-08]","[0.012239272706210613, 0.01547189150005579, 0.9572120308876038]",contradiction,False,False,"[0.021068060770630836, 0.010593687184154987, 0.95361328125]"
863,0,entailment,entailment,entailment,contradiction,True,0.9713849425315857,True,False,73,"[0.9949393272399902, 2.21735985128646e-09, 3.01351477105527e-08]","[0.023554358631372452, 0.08751506358385086, 0.8433954119682312]",contradiction,False,False,"[0.023554358631372452, 0.08751506358385086, 0.8433954119682312]"
879,0,entailment,neutral,neutral,entailment,True,0.8509694933891296,False,True,141,"[0.08969544619321823, 0.8510066866874695, 0.001155874808318913]","[0.996619462966919, 3.72187168977689e-05, 1.2636436395041528e-06]",entailment,False,True,"[0.997219443321228, 1.0922786714218091e-05, 4.951479013470816e-07]"
972,0,entailment,entailment,entailment,neutral,True,0.938183605670929,True,False,52,"[0.9968727231025696, 1.0500689313630573e-05, 2.16693956645031e-06]","[0.058689091354608536, 0.8760111927986145, 0.011027353815734386]",neutral,False,False,"[0.057909708470106125, 0.8779898285865784, 0.010880911722779274]"
